Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
TRO,N48-15-04.40,E003-57-47.33,NAV,LFFF,POINT (3.9631472222222226 48.251222222222225)
TRO,N48-15-04.40,E003-57-47.33,NAV,LFFF-AOML,POINT (3.9631472222222226 48.251222222222225)
TRO,N48-15-04.40,E003-57-47.33,NAV,LFFF-RPAE,POINT (3.9631472222222226 48.251222222222225)
TRO,N69-42-10.01,E018-59-48.32,NAV,ENBD,POINT (18.996755555555556 69.70278055555556)
TRO,N69-42-10.01,E018-59-48.32,NAV,ENBD-E,POINT (18.996755555555556 69.70278055555556)
TRO,N69-42-10.01,E018-59-48.32,NAV,ENOR,POINT (18.996755555555556 69.70278055555556)
TRO,S03-48-09.98,W075-03-02.97,NAV,SPIM,POINT (-75.050825 -3.802772222222222)
TRP,N37-53-45.48,E012-30-47.49,NAV,LIRR-SU1,POINT (12.513191666666666 37.895966666666666)
TRS,N58-56-16.50,E017-30-08.33,NAV,ESAA,POINT (17.50231388888889 58.937916666666666)
TRS,N58-56-16.50,E017-30-08.33,NAV,ESOS,POINT (17.50231388888889 58.937916666666666)
TRS,N58-56-16.50,E017-30-08.33,NAV,ESOS-1,POINT (17.50231388888889 58.937916666666666)
TRS,N58-56-16.50,E017-30-08.33,NAV,ESOS-9,POINT (17.50231388888889 58.937916666666666)
TRT,N12-16-28.11,E102-18-50.09,NDB,VTBB,POINT (102.31391388888889 12.274475)
TRT,N12-16-28.11,E102-18-50.09,NDB,VTBB-5S,POINT (102.31391388888889 12.274475)
TRT,N12-16-28.11,E102-18-50.09,NDB,VTBB-S,POINT (102.31391388888889 12.274475)
TRT,N12-16-28.11,E102-18-50.09,NDB,VTBB-SE,POINT (102.31391388888889 12.274475)
TRU,S08-05-15.09,W079-06-44.87,NAV,SPIM,POINT (-79.11246388888888 -8.087525000000001)
TRZ,N37-17-12.11,E067-19-03.86,NAV,UZSD,POINT (67.31773888888888 37.28669722222222)
TS,N52-23-20.99,E038-55-51.98,NDB,UUWV,POINT (38.931105555555554 52.38916388888889)
TS,N52-23-20.99,E038-55-51.98,NDB,UUWV-E,POINT (38.931105555555554 52.38916388888889)
TS,N52-23-20.99,E038-55-51.98,NDB,UUWV-S,POINT (38.931105555555554 52.38916388888889)
TS,N52-23-20.99,E038-55-51.98,NDB,UUWV-SE,POINT (38.931105555555554 52.38916388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJBG,POINT (134.60861111111112 34.12971388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJBG-N,POINT (134.60861111111112 34.12971388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJBG-W,POINT (134.60861111111112 34.12971388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJDG,POINT (134.60861111111112 34.12971388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJDG-C,POINT (134.60861111111112 34.12971388888889)
TSC,N34-07-46.97,E134-36-31.00,NAV,RJDG-W,POINT (134.60861111111112 34.12971388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,XVCL,POINT (106.65055277777779 10.81831388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,VVHM,POINT (106.65055277777779 10.81831388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,VVHM-B,POINT (106.65055277777779 10.81831388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,VVHM-3,POINT (106.65055277777779 10.81831388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,VVHM-4,POINT (106.65055277777779 10.81831388888889)
TSH,N10-49-05.93,E106-39-01.99,NAV,VVHM-7,POINT (106.65055277777779 10.81831388888889)
TSL,N40-27-24.52,E022-59-27.81,NAV,LGGG,POINT (22.991058333333335 40.456811111111115)
TSL,N40-27-24.52,E022-59-27.81,NAV,LGMD-W,POINT (22.991058333333335 40.456811111111115)
TST,N42-33-31.62,W103-18-43.73,NAV,KZDV,POINT (-103.31214722222222 42.55878333333333)
TSU,N48-45-13.39,E002-06-08.49,NAV,LFFF,POINT (2.1023583333333336 48.75371944444444)
TSU,N48-45-13.39,E002-06-08.49,NAV,LFFF-OPKZ,POINT (2.1023583333333336 48.75371944444444)
TSU,N48-45-13.39,E002-06-08.49,NAV,LFFF-RPAW,POINT (2.1023583333333336 48.75371944444444)
TSU,N48-45-13.39,E002-06-08.49,NAV,LFRR,POINT (2.1023583333333336 48.75371944444444)
TSU,N48-45-13.39,E002-06-08.49,NAV,LFRR-E,POINT (2.1023583333333336 48.75371944444444)
TTE,N35-54-46.95,W119-01-14.93,NAV,KZLA,POINT (-119.02081388888888 35.913041666666665)
TTH,N39-29-20.18,W087-14-56.47,NAV,KZID,POINT (-87.24901944444444 39.48893888888889)
TTM,N22-58-04.23,W099-46-21.66,NAV,MMEX,POINT (-99.77268333333333 22.967841666666665)
TTM,N22-58-04.23,W099-46-21.66,NAV,MMFR,POINT (-99.77268333333333 22.967841666666665)
TTN,N35-35-51.17,W005-19-07.99,NAV,GMMM-ALL,POINT (-5.3188861111111105 35.597547222222225)
TTN,N35-35-51.17,W005-19-07.99,NAV,GMMM,POINT (-5.3188861111111105 35.597547222222225)
TTN,N35-35-51.17,W005-19-07.99,NAV,GMMM-NE,POINT (-5.3188861111111105 35.597547222222225)
TTN,N35-35-51.17,W005-19-07.99,NAV,GMMM-N,POINT (-5.3188861111111105 35.597547222222225)
TTP,N13-38-03.91,E079-33-47.22,NAV,VOMF,POINT (79.56311666666666 13.634419444444443)
TTP,N13-38-03.91,E079-33-47.22,NAV,VOMF-UAC,POINT (79.56311666666666 13.634419444444443)
TTP,N13-38-03.91,E079-33-47.22,NAV,VOMF-UMM,POINT (79.56311666666666 13.634419444444443)
TTP,N13-38-03.91,E079-33-47.22,NAV,VOMM,POINT (79.56311666666666 13.634419444444443)
TTR,N10-46-07.49,E078-43-31.47,NAV,VOMF,POINT (78.72540833333333 10.768747222222222)
TTR,N10-46-07.49,E078-43-31.47,NAV,VOMF-UAC,POINT (78.72540833333333 10.768747222222222)
TTR,N10-46-07.49,E078-43-31.47,NAV,VOMF-UMM,POINT (78.72540833333333 10.768747222222222)
TTR,N10-46-07.49,E078-43-31.47,NAV,VOMM,POINT (78.72540833333333 10.768747222222222)
TTR,N10-46-07.49,E078-43-31.47,NAV,VOMM-S,POINT (78.72540833333333 10.768747222222222)
