Waypoint명,LATITUDE,LONGITUDE,Type,FIR(GIS계산),FIR_Name
AA,S37-00-16.69,E174-48-49.10,NAV,NZAA,POINT (174.8136388888889 -37.00463611111111)
AA,S37-00-16.69,E174-48-49.10,NAV,NZZO,POINT (174.8136388888889 -37.00463611111111)
AA,N68-43-23.35,W052-47-05.36,NDB,BGGL,POINT (-52.78482222222222 68.72315277777778)
AA,N68-43-23.35,W052-47-05.36,NDB,BIRD,POINT (-52.78482222222222 68.72315277777778)
AA,N68-43-23.35,W052-47-05.36,NDB,BIRD-W,POINT (-52.78482222222222 68.72315277777778)
AAE,N23-04-07.29,E072-37-43.49,NAV,VAAH,POINT (72.62874722222222 23.068691666666666)
AAE,N23-04-07.29,E072-37-43.49,NAV,VABF,POINT (72.62874722222222 23.068691666666666)
AAE,N23-04-07.29,E072-37-43.49,NAV,VABF-UAC,POINT (72.62874722222222 23.068691666666666)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK,POINT (9.995583333333332 57.10371388888889)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK-W,POINT (9.995583333333332 57.10371388888889)
AAL,N57-06-13.37,E009-59-44.10,NAV,EKDK-L,POINT (9.995583333333332 57.10371388888889)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIAR,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-LD4,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-UAC,POINT (74.78590833333332 31.728022222222222)
AAR,N31-43-40.88,E074-47-09.27,NAV,VIDF-UD4,POINT (74.78590833333332 31.728022222222222)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD-3,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OEJD-N,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OERD,POINT (41.14216666666667 30.908016666666665)
AAR,N30-54-28.86,E041-08-31.80,NAV,OERD-N,POINT (41.14216666666667 30.908016666666665)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF-UAC,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VECF-UGT,POINT (91.23864444444445 23.89041388888889)
AAT,N23-53-25.49,E091-14-19.12,NAV,VEGF,POINT (91.23864444444445 23.89041388888889)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABB,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABB-LC,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABF,POINT (75.40605833333333 19.8609)
AAU,N19-51-39.24,E075-24-21.81,NAV,VABF-UAC,POINT (75.40605833333333 19.8609)
ABA,N12-30-20.38,W069-56-35.18,NAV,TNCF,POINT (-69.94310555555556 12.505661111111111)
ABA,S34-57-07.80,E117-48-37.94,NDB,YHYD,POINT (117.81053888888889 -34.95216666666667)
ABA,S34-57-07.80,E117-48-37.94,NDB,YJAR,POINT (117.81053888888889 -34.95216666666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFEE,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFEE-N,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF-AENB,POINT (1.8546944444444444 50.13514166666667)
ABB,N50-08-06.51,E001-51-16.90,NAV,LFFF-RPAW,POINT (1.8546944444444444 50.13514166666667)
ABC,N09-02-16.08,E007-17-06.42,NAV,DNKK,POINT (7.285116666666666 9.0378)
ABC,N09-02-16.08,E007-17-06.42,NAV,DNKK-W,POINT (7.285116666666666 9.0378)
ABD,N30-22-31.11,E048-13-14.17,NAV,OIIX,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-3N,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-3,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-W,POINT (48.22060277777778 30.375308333333333)
ABD,N30-22-31.11,E048-13-14.17,NAV,TEH-N,POINT (48.22060277777778 30.375308333333333)
ABH,N18-14-30.91,E042-39-25.02,NAV,OEJD,POINT (42.65695 18.241919444444445)
ABH,N18-14-30.91,E042-39-25.02,NAV,OEJD-2,POINT (42.65695 18.241919444444445)
ABH,N18-14-30.91,E042-39-25.02,NAV,OEJD-S,POINT (42.65695 18.241919444444445)
ABI,N32-28-52.81,W099-51-48.41,NAV,KZFW,POINT (-99.86344722222222 32.48133611111111)
ABK,N53-44-40.72,E091-23-07.88,NAV,UNKL,POINT (91.38552222222224 53.74464444444445)
ABK,N53-44-40.72,E091-23-07.88,NAV,UNKL-S,POINT (91.38552222222224 53.74464444444445)
ABK,N53-44-40.72,E091-23-07.88,NAV,UNKL-S1,POINT (91.38552222222224 53.74464444444445)
ABL,N04-47-01.97,W074-46-03.00,NAV,SKED,POINT (-74.7675 4.783880555555555)
ABM,N25-52-40.78,E055-01-22.13,NDB,OIIX,POINT (55.02281388888889 25.877994444444443)
ABM,N25-52-40.78,E055-01-22.13,NDB,TEH-4S,POINT (55.02281388888889 25.877994444444443)
ABM,N25-52-40.78,E055-01-22.13,NDB,TEH-4,POINT (55.02281388888889 25.877994444444443)
ABM,N25-52-40.78,E055-01-22.13,NDB,TEH-W,POINT (55.02281388888889 25.877994444444443)
ABM,N25-52-40.78,E055-01-22.13,NDB,TEH-S,POINT (55.02281388888889 25.877994444444443)
ABQ,N35-02-37.65,W106-48-58.73,NAV,KZAB,POINT (-106.81631388888889 35.043791666666664)
ABR,N45-25-02.47,W098-22-07.42,NAV,KZMP,POINT (-98.36872777777778 45.41735277777777)
ABU,N32-27-46.22,E013-10-10.26,NAV,HLLL,POINT (13.169516666666667 32.46283888888889)
ABV,S28-34-14.36,E016-32-01.76,NAV,FAJA,POINT (16.533822222222224 -28.570655555555554)
ABV,S28-34-14.36,E016-32-01.76,NAV,FAJA-S,POINT (16.533822222222224 -28.570655555555554)
ABV,S28-34-14.36,E016-32-01.76,NAV,FAJA-W,POINT (16.533822222222224 -28.570655555555554)
ABV,S28-34-14.36,E016-32-01.76,NAV,FASA,POINT (16.533822222222224 -28.570655555555554)
AC,N10-56-20.99,E107-11-17.97,NDB,XVCL,POINT (107.188325 10.939163888888888)
AC,N10-56-20.99,E107-11-17.97,NDB,VVHM,POINT (107.188325 10.939163888888888)
AC,N10-56-20.99,E107-11-17.97,NDB,VVHM-A,POINT (107.188325 10.939163888888888)
AC,N10-56-20.99,E107-11-17.97,NDB,VVHM-2,POINT (107.188325 10.939163888888888)
AC,N10-56-20.99,E107-11-17.97,NDB,VVHM-6,POINT (107.188325 10.939163888888888)
ACA,N16-45-30.47,W099-45-14.30,NAV,MMEX,POINT (-99.75397222222222 16.75846388888889)
ACA,N16-45-30.47,W099-45-14.30,NAV,MMFR,POINT (-99.75397222222222 16.75846388888889)
ACC,N05-38-02.68,W000-09-19.27,NAV,DGAC,POINT (-0.1553527777777778 5.634077777777778)
ACH,N35-06-42.13,W105-02-23.71,NAV,KZAB,POINT (-105.03991944444444 35.11170277777778)
ACK,N41-16-54.76,W070-01-36.14,NAV,KZBW,POINT (-70.02670555555555 41.28187777777778)
ACO,N41-06-28.44,W081-12-05.46,NAV,KZOB,POINT (-81.20151666666666 41.1079)
ACT,N31-39-44.04,W097-16-08.48,NAV,KZFW,POINT (-97.26902222222222 31.662233333333333)
ACV,N40-58-53.22,W124-06-29.96,NAV,KZSE,POINT (-124.10832222222221 40.98145)
ACY,N39-27-21.15,W074-34-34.72,NAV,KZDC,POINT (-74.57631111111111 39.455875000000006)
AD,N05-16-58.13,W003-55-01.09,NAV,DIII,POINT (-3.9169694444444443 5.282813888888889)
AD,S34-56-49.10,E138-31-28.31,NAV,YTBD,POINT (138.52453055555557 -34.94697222222222)
ADA,N36-56-26.10,E035-12-37.40,NAV,LTAA,POINT (35.21038888888889 36.94058333333333)
ADA,N36-56-26.10,E035-12-37.40,NAV,LTAA-15,POINT (35.21038888888889 36.94058333333333)
ADA,N36-56-26.10,E035-12-37.40,NAV,LTAA-C,POINT (35.21038888888889 36.94058333333333)
ADA,N36-56-26.10,E035-12-37.40,NAV,LTAA-S,POINT (35.21038888888889 36.94058333333333)
ADA,N36-56-26.10,E035-12-37.40,NAV,LTXX,POINT (35.21038888888889 36.94058333333333)
ADA,S22-48-45.96,W042-05-43.22,NAV,SBCW,POINT (-42.09533888888889 -22.81276666666667)
ADK,N51-52-18.78,W176-40-33.57,NDB,PAZA,POINT (-176.67599166666665 51.87188333333334)
ADK,N51-52-18.78,W176-40-33.57,NDB,PAZA-P,POINT (-176.67599166666665 51.87188333333334)
ADM,N30-19-18.92,W009-23-00.54,NAV,GMMM-ALL,POINT (-9.383483333333333 30.321922222222224)
ADM,N30-19-18.92,W009-23-00.54,NAV,GMMM,POINT (-9.383483333333333 30.321922222222224)
ADM,N30-19-18.92,W009-23-00.54,NAV,GMMM-S,POINT (-9.383483333333333 30.321922222222224)
ADM,N34-12-41.67,W097-10-05.65,NAV,KZFW,POINT (-97.16823611111111 34.211575)
ADN,N57-18-37.65,W002-16-02.06,NAV,EGPX,POINT (-2.267238888888889 57.31045833333333)
ADN,N57-18-37.65,W002-16-02.06,NAV,EGPX-E,POINT (-2.267238888888889 57.31045833333333)
ADN,N57-18-37.65,W002-16-02.06,NAV,EGPX-N,POINT (-2.267238888888889 57.31045833333333)
ADN,N57-18-37.65,W002-16-02.06,NAV,EGVV,POINT (-2.267238888888889 57.31045833333333)
ADR,N27-49-13.24,W000-12-09.91,NAV,DAAA,POINT (-0.2027527777777778 27.820344444444444)
ADX,N39-32-58.02,E002-23-45.08,NDB,LECB,POINT (2.3958555555555554 39.54945)
ADX,N39-32-58.02,E002-23-45.08,NDB,LECB-E,POINT (2.3958555555555554 39.54945)
ADX,N39-32-58.02,E002-23-45.08,NDB,LECB-MVS,POINT (2.3958555555555554 39.54945)
ADX,N39-32-58.02,E002-23-45.08,NDB,LECB-S,POINT (2.3958555555555554 39.54945)
ADX,N39-32-58.02,E002-23-45.08,NDB,LECP,POINT (2.3958555555555554 39.54945)
AEX,N31-15-24.21,W092-30-03.52,NAV,KZHU,POINT (-92.50097777777778 31.256725)
AG,N44-08-21.98,E039-01-35.96,NDB,URRV,POINT (39.02665555555556 44.13943888888889)
AGC,N40-16-43.13,W080-02-27.06,NAV,KZOB,POINT (-80.04084999999999 40.27864722222222)
AGG,N27-09-26.21,E077-57-23.61,NAV,VIDF,POINT (77.95655833333333 27.157280555555555)
AGG,N27-09-26.21,E077-57-23.61,NAV,VIDF-LD2,POINT (77.95655833333333 27.157280555555555)
AGG,N27-09-26.21,E077-57-23.61,NAV,VIDF-UAC,POINT (77.95655833333333 27.157280555555555)
AGG,N27-09-26.21,E077-57-23.61,NAV,VIDF-UD2,POINT (77.95655833333333 27.157280555555555)
AGH,N39-12-59.37,E022-47-41.69,NAV,LGGG,POINT (22.79491388888889 39.21649166666667)
AGH,N39-12-59.37,E022-47-41.69,NAV,LGMD-W,POINT (22.79491388888889 39.21649166666667)
AGJ,N31-11-07.83,W098-08-30.68,NAV,KZHU,POINT (-98.14185555555557 31.185508333333335)
AGN,N43-53-16.87,E000-52-22.28,NAV,LFBB,POINT (0.8728555555555556 43.888019444444446)
AGN,N43-53-16.87,E000-52-22.28,NAV,LFBB-US,POINT (0.8728555555555556 43.888019444444446)
AGN,N43-53-16.87,E000-52-22.28,NAV,LFBB-X,POINT (0.8728555555555556 43.888019444444446)
AGU,N21-42-41.07,W102-19-08.55,NAV,MMEX,POINT (-102.31904166666666 21.71140833333333)
AGU,N21-42-41.07,W102-19-08.55,NAV,MMFR,POINT (-102.31904166666666 21.71140833333333)
AGV,N09-33-07.47,W069-14-16.52,NAV,SVZM,POINT (-69.23792222222222 9.552075)
AGV,S29-28-51.66,E018-33-44.98,NAV,FAJA,POINT (18.562494444444447 -29.481016666666665)
AGV,S29-28-51.66,E018-33-44.98,NAV,FAJA-S,POINT (18.562494444444447 -29.481016666666665)
AGV,S29-28-51.66,E018-33-44.98,NAV,FAJA-W,POINT (18.562494444444447 -29.481016666666665)
AGV,S29-28-51.66,E018-33-44.98,NAV,FASA,POINT (18.562494444444447 -29.481016666666665)
AGZ,N47-55-52.02,E080-26-59.02,NAV,UAAA,POINT (80.44972777777778 47.93111666666666)
AHN,N33-56-51.37,W083-19-29.12,NAV,KZTL,POINT (-83.32475555555556 33.947602777777774)
AI,S18-49-29.26,W159-46-24.39,NDB,NCRG,POINT (-159.77344166666668 -18.824794444444443)
AI,S18-49-29.26,W159-46-24.39,NDB,NZZO,POINT (-159.77344166666668 -18.824794444444443)
AIA,N42-03-20.24,W102-48-15.97,NAV,KZDV,POINT (-102.8044361111111 42.05562222222222)
AIR,N40-01-01.33,W080-49-02.04,NAV,KZOB,POINT (-80.81723333333333 40.01703611111111)
AJ,N56-31-02.97,E034-56-11.02,NDB,UUWV,POINT (34.93639444444444 56.517491666666665)
AJ,N56-31-02.97,E034-56-11.02,NDB,UUWV-N,POINT (34.93639444444444 56.517491666666665)
AJ,N56-31-02.97,E034-56-11.02,NDB,UUWV-NW,POINT (34.93639444444444 56.517491666666665)
AJF,N29-47-22.33,E040-04-18.08,NAV,OEJD,POINT (40.07168888888889 29.78953611111111)
AJF,N29-47-22.33,E040-04-18.08,NAV,OEJD-3,POINT (40.07168888888889 29.78953611111111)
AJF,N29-47-22.33,E040-04-18.08,NAV,OEJD-N,POINT (40.07168888888889 29.78953611111111)
AJF,N29-47-22.33,E040-04-18.08,NAV,OERD,POINT (40.07168888888889 29.78953611111111)
AJF,N29-47-22.33,E040-04-18.08,NAV,OERD-N,POINT (40.07168888888889 29.78953611111111)
AJO,N41-46-13.92,E008-46-28.79,NAV,LFMM,POINT (8.77466388888889 41.77053333333333)
AJO,N41-46-13.92,E008-46-28.79,NAV,LFMM-MME,POINT (8.77466388888889 41.77053333333333)
AJO,N41-46-13.92,E008-46-28.79,NAV,LFMM-MRAE,POINT (8.77466388888889 41.77053333333333)
AJR,N30-44-41.08,E049-40-49.33,NAV,OIIX,POINT (49.680369444444445 30.744744444444446)
AJR,N30-44-41.08,E049-40-49.33,NAV,TEH-3S,POINT (49.680369444444445 30.744744444444446)
AJR,N30-44-41.08,E049-40-49.33,NAV,TEH-3,POINT (49.680369444444445 30.744744444444446)
AJR,N30-44-41.08,E049-40-49.33,NAV,TEH-W,POINT (49.680369444444445 30.744744444444446)
AJR,N30-44-41.08,E049-40-49.33,NAV,TEH-S,POINT (49.680369444444445 30.744744444444446)
AKB,N50-15-48.30,E057-10-54.79,NAV,UATT,POINT (57.18188611111111 50.263416666666664)
AKD,N32-45-12.00,E108-55-48.00,NAV,ZLHW,POINT (108.93 32.75333333333333)
AKD,N32-45-12.00,E108-55-48.00,NAV,ZLXY,POINT (108.93 32.75333333333333)
AKI,N65-45-35.30,W018-00-14.77,NAV,BIRD,POINT (-18.004102777777778 65.75980555555556)
AKI,N65-45-35.30,W018-00-14.77,NAV,BIRD-S,POINT (-18.004102777777778 65.75980555555556)
AKN,N58-43-28.97,W156-45-08.46,NAV,PAZA,POINT (-156.75235 58.72471388888889)
AKN,N58-43-28.97,W156-45-08.46,NAV,PAZA-D,POINT (-156.75235 58.72471388888889)
AKO,N40-09-20.04,W103-10-46.96,NAV,KZDV,POINT (-103.17971111111112 40.155566666666665)
AKS,N41-15-42.00,E080-17-05.99,NAV,ZWUQ,POINT (80.28499722222222 41.26166666666666)
AKS,N41-15-42.00,E080-17-05.99,NAV,ZWWW-S,POINT (80.28499722222222 41.26166666666666)
AKT,N43-52-20.33,E051-03-51.88,NAV,UATT,POINT (51.064411111111106 43.87231388888889)
AL,N61-42-01.98,E096-28-34.03,NDB,UNKL,POINT (96.47611944444445 61.70055)
AL,N61-42-01.98,E096-28-34.03,NDB,UNKL-S,POINT (96.47611944444445 61.70055)
AL,N61-42-01.98,E096-28-34.03,NDB,UNKL-S3,POINT (96.47611944444445 61.70055)
ALB,N42-44-50.24,W073-48-11.49,NAV,KZBW,POINT (-73.80319166666666 42.74728888888889)
ALC,S19-16-04.04,W065-08-34.97,NAV,SLLF,POINT (-65.14304722222222 -19.267788888888887)
ALD,N33-00-45.00,W081-17-32.07,NAV,KZJX,POINT (-81.29224166666667 33.0125)
ALD,N33-00-45.00,W081-17-32.07,NAV,KZJX-A,POINT (-81.29224166666667 33.0125)
ALE,N36-10-46.83,E037-12-33.78,NAV,OSTT,POINT (37.209383333333335 36.179674999999996)
ALG,N40-37-41.34,E008-14-37.99,NAV,LIRR-EW1,POINT (8.24388611111111 40.62815)
ALG,N40-37-41.34,E008-14-37.99,NAV,LIRR-SU1,POINT (8.24388611111111 40.62815)
ALG,N47-59-50.57,E010-15-43.91,NDB,EDMM,POINT (10.262197222222222 47.99738055555556)
ALG,N47-59-50.57,E010-15-43.91,NDB,EDMM-RDG,POINT (10.262197222222222 47.99738055555556)
ALG,N47-59-50.57,E010-15-43.91,NDB,EDMM-ZUG,POINT (10.262197222222222 47.99738055555556)
ALG,N47-59-50.57,E010-15-43.91,NDB,EDXX,POINT (10.262197222222222 47.99738055555556)
ALH,N25-26-37.68,E081-43-24.20,NAV,VEBN,POINT (81.72338888888889 25.4438)
ALH,N25-26-37.68,E081-43-24.20,NAV,VECF,POINT (81.72338888888889 25.4438)
ALH,N25-26-37.68,E081-43-24.20,NAV,VECF-UAC,POINT (81.72338888888889 25.4438)
ALH,N25-26-37.68,E081-43-24.20,NAV,VECF-UBN,POINT (81.72338888888889 25.4438)
ALI,N27-49-45.22,E078-10-42.43,NAV,VIDF,POINT (78.17845277777778 27.829227777777778)
ALI,N27-49-45.22,E078-10-42.43,NAV,VIDF-LD1,POINT (78.17845277777778 27.829227777777778)
ALI,N27-49-45.22,E078-10-42.43,NAV,VIDF-UAC,POINT (78.17845277777778 27.829227777777778)
ALI,N27-49-45.22,E078-10-42.43,NAV,VIDF-UD1,POINT (78.17845277777778 27.829227777777778)
ALM,N35-11-17.21,W003-50-16.59,NAV,GMMM-ALL,POINT (-3.837941666666667 35.188113888888886)
ALM,N35-11-17.21,W003-50-16.59,NAV,GMMM,POINT (-3.837941666666667 35.188113888888886)
ALM,N35-11-17.21,W003-50-16.59,NAV,GMMM-NE,POINT (-3.837941666666667 35.188113888888886)
ALM,N35-11-17.21,W003-50-16.59,NAV,GMMM-E,POINT (-3.837941666666667 35.188113888888886)
ALO,N42-33-23.43,W092-23-56.13,NAV,KZAU,POINT (-92.398925 42.55650833333333)
ALR,N36-41-27.56,E003-12-55.71,NAV,DAAA,POINT (3.215475 36.69098888888889)
ALS,N37-20-56.97,W105-48-55.90,NAV,KZDV,POINT (-105.81552777777777 37.349158333333335)
ALS,N54-54-19.51,E009-59-36.15,NAV,EKDK,POINT (9.993374999999999 54.90541944444444)
ALS,N54-54-19.51,E009-59-36.15,NAV,EKDK-E,POINT (9.993374999999999 54.90541944444444)
ALT,N38-16-05.80,W000-34-12.39,NAV,LECB,POINT (-0.5701083333333333 38.268277777777776)
ALT,N38-16-05.80,W000-34-12.39,NAV,LECB-LLI,POINT (-0.5701083333333333 38.268277777777776)
ALT,N38-16-05.80,W000-34-12.39,NAV,LECB-S,POINT (-0.5701083333333333 38.268277777777776)
ALT,N38-16-05.80,W000-34-12.39,NAV,LECB-W,POINT (-0.5701083333333333 38.268277777777776)
ALT,N38-16-05.80,W000-34-12.39,NAV,LECL,POINT (-0.5701083333333333 38.268277777777776)
ALW,N46-05-13.13,W118-17-33.15,NAV,KZSE,POINT (-118.29254166666666 46.086980555555556)
ALX,N40-51-14.14,E025-57-24.21,NAV,LGGG,POINT (25.956725 40.85392777777778)
ALX,N40-51-14.14,E025-57-24.21,NAV,LGMD-KVL,POINT (25.956725 40.85392777777778)
ALX,N40-51-14.14,E025-57-24.21,NAV,LGMD-W,POINT (25.956725 40.85392777777778)
AM,N20-59-19.99,E105-51-40.98,NDB,XVCL,POINT (105.86138333333332 20.98888611111111)
AM,N20-59-19.99,E105-51-40.98,NDB,VVHN,POINT (105.86138333333332 20.98888611111111)
AM,N20-59-19.99,E105-51-40.98,NDB,VVHN-1,POINT (105.86138333333332 20.98888611111111)
AMB,S33-25-11.00,W070-47-03.98,NAV,SCEZ,POINT (-70.78443888888889 -33.41972222222222)
AMB,N47-25-44.12,E001-03-52.02,NAV,LFFF,POINT (1.0644500000000001 47.42892222222222)
AMB,N47-25-44.12,E001-03-52.02,NAV,LFFF-OPKZ,POINT (1.0644500000000001 47.42892222222222)
AMB,N47-25-44.12,E001-03-52.02,NAV,LFFF-RPAW,POINT (1.0644500000000001 47.42892222222222)
AMB,N47-25-44.12,E001-03-52.02,NAV,LFRR,POINT (1.0644500000000001 47.42892222222222)
AMB,N47-25-44.12,E001-03-52.02,NAV,LFRR-E,POINT (1.0644500000000001 47.42892222222222)
AMB,S27-38-29.53,E152-42-58.03,NAV,YDOS,POINT (152.71611944444444 -27.64153611111111)
AMB,S27-38-29.53,E152-42-58.03,NAV,YINL,POINT (152.71611944444444 -27.64153611111111)
AME,N28-26-04.99,E129-42-41.09,NAV,RJBG,POINT (129.71141388888887 28.434719444444443)
AME,N28-26-04.99,E129-42-41.09,NAV,RJBG-S,POINT (129.71141388888887 28.434719444444443)
AME,N28-26-04.99,E129-42-41.09,NAV,RJDG,POINT (129.71141388888887 28.434719444444443)
AME,N28-26-04.99,E129-42-41.09,NAV,RJDG-S,POINT (129.71141388888887 28.434719444444443)
AML,N38-56-04.49,W077-28-00.13,NAV,KZDC,POINT (-77.46670277777778 38.934580555555556)
AMN,S03-36-53.67,E128-11-09.79,NAV,WAAF,POINT (128.18605277777777 -3.6149083333333336)
AMN,S03-36-53.67,E128-11-09.79,NAV,WAAF-AN,POINT (128.18605277777777 -3.6149083333333336)
AMN,S03-36-53.67,E128-11-09.79,NAV,WAAF-MO,POINT (128.18605277777777 -3.6149083333333336)
AMN,N32-00-14.67,E036-03-57.57,NAV,OJAC,POINT (36.06599166666666 32.004075)
AMR,N36-49-59.40,W002-15-33.87,NAV,LECM-ALL,POINT (-2.2594083333333335 36.83316666666667)
AMR,N36-49-59.40,W002-15-33.87,NAV,LECS,POINT (-2.2594083333333335 36.83316666666667)
AMR,N36-49-59.40,W002-15-33.87,NAV,LECS-NCS,POINT (-2.2594083333333335 36.83316666666667)
AMR,N36-49-59.40,W002-15-33.87,NAV,LECS-CEN,POINT (-2.2594083333333335 36.83316666666667)
AN,N19-46-47.63,E094-01-41.31,NDB,VYYF,POINT (94.02814166666667 19.77989722222222)
ANB,N36-49-56.78,E007-48-52.50,NAV,DAAA,POINT (7.814583333333333 36.832438888888895)
ANC,N43-35-11.24,E013-28-15.98,NAV,LIPP,POINT (13.471105555555555 43.58645555555556)
AND,N30-15-24.01,E121-13-17.99,NAV,ZSHA,POINT (121.22166388888888 30.256669444444444)
AND,N30-15-24.01,E121-13-17.99,NAV,ZSSS,POINT (121.22166388888888 30.256669444444444)
AND,N30-15-24.01,E121-13-17.99,NAV,ZSSS-C,POINT (121.22166388888888 30.256669444444444)
AND,S13-42-51.19,W073-22-40.21,NAV,SPIM,POINT (-73.37783611111111 -13.714219444444444)
ANG,N47-32-12.68,W000-51-06.58,NAV,LFRR,POINT (-0.8518277777777777 47.536855555555555)
ANG,N47-32-12.68,W000-51-06.58,NAV,LFRR-N,POINT (-0.8518277777777777 47.536855555555555)
ANG,N47-32-12.68,W000-51-06.58,NAV,LFRR-S,POINT (-0.8518277777777777 47.536855555555555)
ANN,N55-03-37.47,W131-34-42.25,NAV,CZVR,POINT (-131.57840277777777 55.06040833333333)
ANU,N17-07-33.18,W061-48-00.64,NAV,TTZP,POINT (-61.800177777777776 17.125883333333334)
ANW,N42-34-08.77,W099-59-22.78,NAV,KZDV,POINT (-99.98966111111112 42.56910277777778)
ANX,N39-05-43.54,W094-07-43.83,NAV,KZKC,POINT (-94.12884166666666 39.09542777777778)
ANY,S06-58-28.88,E110-22-48.40,NAV,WIIF,POINT (110.3801111111111 -6.974688888888889)
ANY,S06-58-28.88,E110-22-48.40,NAV,WIIF-JG,POINT (110.3801111111111 -6.974688888888889)
ANY,S06-58-28.88,E110-22-48.40,NAV,WIIF-SG,POINT (110.3801111111111 -6.974688888888889)
AO,N55-09-10.02,E038-17-19.03,NDB,UUWV,POINT (38.28861944444444 55.15278333333333)
AO,N55-09-10.02,E038-17-19.03,NDB,UUWV-N,POINT (38.28861944444444 55.15278333333333)
AP,S38-44-35.60,E176-04-27.39,NDB,NZAA,POINT (176.074275 -38.74322222222222)
AP,S38-44-35.60,E176-04-27.39,NDB,NZCB,POINT (176.074275 -38.74322222222222)
AP,S38-44-35.60,E176-04-27.39,NDB,NZZO,POINT (176.074275 -38.74322222222222)
APE,N40-09-03.81,W082-35-17.90,NAV,KZID,POINT (-82.58830555555555 40.15105833333333)
APN,N45-04-58.02,W083-33-25.24,NAV,KZMP,POINT (-83.55701111111111 45.08278333333334)
APU,N25-10-36.72,E121-31-20.07,NAV,RCAA,POINT (121.52224166666666 25.17686666666667)
AR,N36-43-23.97,E116-55-00.03,NDB,ZBAA,POINT (116.916675 36.723325)
AR,N36-43-23.97,E116-55-00.03,NDB,ZBAA-S,POINT (116.916675 36.723325)
AR,N36-43-23.97,E116-55-00.03,NDB,ZBPE,POINT (116.916675 36.723325)
AR,N36-43-23.97,E116-55-00.03,NDB,ZSHA,POINT (116.916675 36.723325)
AR,N36-43-23.97,E116-55-00.03,NDB,ZSJN,POINT (116.916675 36.723325)
ARA,N38-09-32.38,E021-25-45.88,NAV,LGGG,POINT (21.42941111111111 38.158994444444446)
ARA,N38-09-32.38,E021-25-45.88,NAV,LGGG-KFN,POINT (21.42941111111111 38.158994444444446)
ARA,N38-09-32.38,E021-25-45.88,NAV,LGGG-KRK,POINT (21.42941111111111 38.158994444444446)
ARA,N38-09-32.38,E021-25-45.88,NAV,LGGG-PLH,POINT (21.42941111111111 38.158994444444446)
ARB,N38-18-56.52,E048-26-05.10,NAV,OIIX,POINT (48.434749999999994 38.3157)
ARB,N38-18-56.52,E048-26-05.10,NAV,TEH-1N,POINT (48.434749999999994 38.3157)
ARB,N38-18-56.52,E048-26-05.10,NAV,TEH-1,POINT (48.434749999999994 38.3157)
ARB,N38-18-56.52,E048-26-05.10,NAV,TEH-W,POINT (48.434749999999994 38.3157)
ARB,N38-18-56.52,E048-26-05.10,NAV,TEH-N,POINT (48.434749999999994 38.3157)
ARD,N40-15-12.05,W074-54-27.42,NAV,KZNY,POINT (-74.90761666666667 40.253347222222224)
ARG,S16-37-54.09,E128-26-55.53,NAV,YKIY,POINT (128.44875833333333 -16.63169166666667)
ARG,S16-37-54.09,E128-26-55.53,NAV,YTRT,POINT (128.44875833333333 -16.63169166666667)
ARG,N36-06-36.08,W090-57-13.27,NAV,KZME,POINT (-90.95368611111111 36.11002222222223)
ARH,N31-04-22.82,E033-49-54.70,NAV,HECC,POINT (33.83186111111112 31.073005555555554)
ARH,N31-04-22.82,E033-49-54.70,NAV,HECC-2,POINT (33.83186111111112 31.073005555555554)
